,dates,finalBalance,perfVSUSD,holdPercentage,vsHoldPercentage,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,averagePercentagePositivTrades,averagePercentageNegativTrades,startingBalance,cci,pvo,willr,kama,ao,sp,psar,atr,adx,aroon,keltner,boll,stochrsi,macd,kst,vol,trix,emad,ema,hichi
28,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1067.56,6.76,-4.03,11.24,1.07,-0.68,1.57,12.72,155.0,97.0,58.0,62.58,0.05,0.15,-0.13,1000,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
29,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1065.22,6.53,-4.03,10.99,1.07,-0.68,1.21,12.78,156.0,94.0,62.0,60.26,0.04,0.15,-0.11,1000,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
30,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1064.84,6.49,-4.03,10.96,5.23,-1.7,2.12,1.58,19.0,10.0,9.0,52.63,0.35,1.25,-0.66,1000,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
31,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1064.07,6.41,-4.03,10.88,2.04,-0.52,1.2,2.3,28.0,13.0,15.0,46.43,0.23,0.7,-0.18,1000,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
32,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1063.72,6.38,-4.03,10.84,5.25,0.0,0.02,0.39,2.0,2.0,0.0,100.0,3.17,3.17,0.0,1000,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
33,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1063.43,6.35,-4.03,10.81,4.55,-2.24,4.87,1.69,20.0,9.0,11.0,45.0,0.33,1.89,-0.95,1000,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
34,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1057.13,5.72,-4.03,10.15,5.63,-3.79,4.33,1.55,19.0,8.0,11.0,42.11,0.31,1.68,-0.68,1000,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
35,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1056.38,5.64,-4.03,10.07,5.66,0.0,0.02,0.25,1.0,1.0,0.0,100.0,5.66,5.66,0.0,1000,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1054.71,5.48,-4.03,9.9,2.04,-0.27,0.61,1.8,22.0,11.0,11.0,50.0,0.25,0.59,-0.09,1000,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
37,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1053.83,5.39,-4.03,9.81,5.06,-2.92,18.51,22.7,299.0,119.0,180.0,39.8,0.02,0.62,-0.37,1000,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
38,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1052.8,5.28,-4.03,9.7,5.31,0.0,0.02,0.3,1.0,1.0,0.0,100.0,5.31,5.31,0.0,1000,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
39,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1052.35,5.24,-4.03,9.65,5.03,-2.92,20.1,29.25,389.0,157.0,232.0,40.36,0.02,0.55,-0.34,1000,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
40,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1052.35,5.24,-4.03,9.65,4.59,-2.44,7.48,5.0,60.0,20.0,40.0,33.33,0.1,1.25,-0.48,1000,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
41,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1051.37,5.14,-4.03,9.55,4.77,-0.53,0.53,0.58,7.0,2.0,5.0,28.57,0.74,2.9,-0.13,1000,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
42,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1051.31,5.14,-4.03,9.55,5.14,-0.93,2.69,6.95,84.0,21.0,63.0,25.0,0.07,0.69,-0.14,1000,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
