,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,dates,finalBalance,perfVSUSD,holdPercentage,vsHoldPercentage,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,averagePercentagePositivTrades,averagePercentageNegativTrades,startingBalance,cci,pvo,willr,kama,ao,sp,psar,atr,adx,aroon,keltner,boll,stochrsi,macd,kst,vol,trix,emad,ema,hichi
4947,4947,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1233.07,23.31,-4.03,28.48,5.75,-3.59,9.46,9.48,111.0,53.0,58.0,47.75,0.2,0.91,-0.45,1000,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
4262,4262,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1225.55,22.56,-4.03,27.7,5.9,-2.26,13.53,15.17,182.0,78.0,104.0,42.86,0.12,0.86,-0.44,1000,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
4583,4583,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1206.93,20.7,-4.03,25.76,5.89,-2.24,12.42,13.34,162.0,75.0,87.0,46.3,0.13,0.83,-0.48,1000,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
4279,4279,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1203.58,20.36,-4.03,25.41,5.87,-3.18,14.73,12.08,148.0,70.0,78.0,47.3,0.13,0.82,-0.49,1000,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
4920,4920,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1184.93,18.5,-4.03,23.47,5.68,-2.85,14.88,28.24,348.0,156.0,192.0,44.83,0.06,0.55,-0.35,1000,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
4268,4268,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1182.21,18.23,-4.03,23.19,5.84,-2.26,14.93,15.77,193.0,82.0,111.0,42.49,0.1,0.8,-0.43,1000,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
4261,4261,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1182.21,18.23,-4.03,23.19,5.84,-2.26,14.93,15.77,193.0,82.0,111.0,42.49,0.1,0.8,-0.43,1000,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
3713,3713,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1167.54,16.76,-4.03,21.66,5.53,-0.59,2.72,4.2,49.0,23.0,26.0,46.94,0.33,0.88,-0.17,1000,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3759,3759,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1160.74,16.08,-4.03,20.95,5.33,-0.61,1.91,3.88,45.0,21.0,24.0,46.67,0.34,0.97,-0.2,1000,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
4318,4318,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1150.08,15.01,-4.03,19.84,5.68,-3.08,16.91,33.12,417.0,198.0,219.0,47.48,0.04,0.47,-0.35,1000,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
4345,4345,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1137.95,13.8,-4.03,18.57,5.94,-2.88,9.69,12.27,146.0,64.0,82.0,43.84,0.1,0.81,-0.46,1000,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
4556,4556,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1119.7,11.97,-4.03,16.67,5.66,-3.23,18.0,33.37,425.0,216.0,209.0,50.82,0.03,0.4,-0.35,1000,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3714,3714,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1115.56,11.56,-4.03,16.24,5.66,-0.59,1.0,1.53,18.0,7.0,11.0,38.89,0.62,1.77,-0.11,1000,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4164,4164,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1102.11,10.22,-4.03,14.84,5.65,-3.2,21.79,40.03,517.0,262.0,255.0,50.68,0.02,0.37,-0.33,1000,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
4142,4142,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1102.11,10.22,-4.03,14.84,5.65,-3.2,21.79,40.03,517.0,262.0,255.0,50.68,0.02,0.37,-0.33,1000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1733,1733,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1093.9,9.39,-4.03,13.98,5.13,-0.58,0.75,1.6,19.0,8.0,11.0,42.11,0.48,1.3,-0.11,1000,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
3279,3279,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1091.02,9.11,-4.03,13.68,5.68,-1.14,4.41,6.09,71.0,19.0,52.0,26.76,0.13,1.01,-0.19,1000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4674,4674,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1084.94,8.5,-4.03,13.05,8.52,0.0,0.02,0.31,1.0,1.0,0.0,100.0,8.52,8.52,0.0,1000,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4937,4937,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1084.16,8.42,-4.03,12.97,2.44,-3.34,13.4,28.05,353.0,210.0,143.0,59.49,0.03,0.35,-0.44,1000,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1557,1557,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1082.23,8.23,-4.03,12.77,5.15,-1.7,5.32,4.22,50.0,22.0,28.0,44.0,0.17,0.92,-0.42,1000,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1732,1732,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1078.25,7.83,-4.03,12.35,5.15,-0.45,1.49,4.35,52.0,18.0,34.0,34.62,0.15,0.64,-0.11,1000,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
4412,4412,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1077.2,7.72,-4.03,12.24,4.73,-3.36,4.82,1.01,12.0,6.0,6.0,50.0,0.65,2.27,-0.98,1000,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
3476,3476,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1074.76,7.48,-4.03,11.99,5.33,-1.6,4.85,5.73,67.0,19.0,48.0,28.36,0.12,1.09,-0.27,1000,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
3173,3173,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1074.25,7.43,-4.03,11.94,5.3,-0.91,0.91,0.43,3.0,2.0,1.0,66.67,2.46,4.14,-0.91,1000,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3212,3212,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1074.25,7.43,-4.03,11.94,5.3,-0.91,0.91,0.43,3.0,2.0,1.0,66.67,2.46,4.14,-0.91,1000,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3183,3183,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1074.25,7.43,-4.03,11.94,5.3,-0.91,0.91,0.43,3.0,2.0,1.0,66.67,2.46,4.14,-0.91,1000,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1600,1600,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1074.21,7.43,-4.03,11.93,5.14,-3.79,5.71,3.47,42.0,17.0,25.0,40.48,0.18,1.25,-0.54,1000,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
4997,4997,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1067.77,6.78,-4.03,11.26,5.82,-3.06,18.23,28.94,365.0,186.0,179.0,50.96,0.02,0.44,-0.41,1000,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3557,3557,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1067.56,6.76,-4.03,11.24,1.07,-0.68,1.57,12.72,155.0,97.0,58.0,62.58,0.05,0.15,-0.13,1000,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
3550,3550,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1065.22,6.53,-4.03,10.99,1.07,-0.68,1.21,12.78,156.0,94.0,62.0,60.26,0.04,0.15,-0.11,1000,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1558,1558,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1064.84,6.49,-4.03,10.96,5.23,-1.7,2.12,1.58,19.0,10.0,9.0,52.63,0.35,1.25,-0.66,1000,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
3718,3718,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1064.07,6.41,-4.03,10.88,2.04,-0.52,1.2,2.3,28.0,13.0,15.0,46.43,0.23,0.7,-0.18,1000,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
4276,4276,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1063.72,6.38,-4.03,10.84,5.25,0.0,0.02,0.39,2.0,2.0,0.0,100.0,3.17,3.17,0.0,1000,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
4385,4385,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1063.43,6.35,-4.03,10.81,4.55,-2.24,4.87,1.69,20.0,9.0,11.0,45.0,0.33,1.89,-0.95,1000,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
1594,1594,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1057.13,5.72,-4.03,10.15,5.63,-3.79,4.33,1.55,19.0,8.0,11.0,42.11,0.31,1.68,-0.68,1000,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
4734,4734,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1056.38,5.64,-4.03,10.07,5.66,0.0,0.02,0.25,1.0,1.0,0.0,100.0,5.66,5.66,0.0,1000,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3716,3716,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1054.71,5.48,-4.03,9.9,2.04,-0.27,0.61,1.8,22.0,11.0,11.0,50.0,0.25,0.59,-0.09,1000,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2814,2814,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1053.83,5.39,-4.03,9.81,5.06,-2.92,18.51,22.7,299.0,119.0,180.0,39.8,0.02,0.62,-0.37,1000,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
4580,4580,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1052.8,5.28,-4.03,9.7,5.31,0.0,0.02,0.3,1.0,1.0,0.0,100.0,5.31,5.31,0.0,1000,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2731,2731,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1052.35,5.24,-4.03,9.65,5.03,-2.92,20.1,29.25,389.0,157.0,232.0,40.36,0.02,0.55,-0.34,1000,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
3301,3301,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1052.35,5.24,-4.03,9.65,4.59,-2.44,7.48,5.0,60.0,20.0,40.0,33.33,0.1,1.25,-0.48,1000,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
895,895,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1051.37,5.14,-4.03,9.55,4.77,-0.53,0.53,0.58,7.0,2.0,5.0,28.57,0.74,2.9,-0.13,1000,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
627,627,627.0,627.0,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1051.31,5.14,-4.03,9.55,5.14,-0.93,2.69,6.95,84.0,21.0,63.0,25.0,0.07,0.69,-0.14,1000,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1593,1593,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1049.12,4.92,-4.03,9.32,5.65,-3.79,5.47,4.08,50.0,16.0,34.0,32.0,0.11,1.14,-0.38,1000,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
4216,4216,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1048.23,4.83,-4.03,9.23,5.65,-3.16,25.28,26.16,360.0,176.0,184.0,48.89,0.02,0.46,-0.4,1000,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
3589,3589,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1044.86,4.49,-4.03,8.87,1.07,-0.68,1.4,10.22,126.0,73.0,53.0,57.94,0.04,0.16,-0.13,1000,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
678,678,678.0,678.0,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1042.93,4.3,-4.03,8.67,5.55,-1.52,15.1,62.47,827.0,355.0,472.0,42.93,0.01,0.23,-0.16,1000,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
1595,1595,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1042.45,4.25,-4.03,8.62,6.26,-1.69,5.11,1.77,21.0,6.0,15.0,28.57,0.22,2.32,-0.62,1000,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
3510,3510,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1039.29,3.93,-4.03,8.29,2.02,-0.93,1.05,0.98,12.0,6.0,6.0,50.0,0.33,0.93,-0.27,1000,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
4661,4661,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1039.25,3.93,-4.03,8.29,7.27,-4.79,7.77,1.15,15.0,8.0,7.0,53.33,0.29,1.79,-1.42,1000,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1565,1565,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1038.26,3.83,-4.03,8.19,5.75,-1.43,16.76,64.49,875.0,312.0,563.0,35.66,0.01,0.27,-0.14,1000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
4594,4594,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1038.17,3.82,-4.03,8.18,5.79,-2.82,18.22,36.05,459.0,258.0,201.0,56.21,0.01,0.36,-0.43,1000,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
4245,4245,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1036.91,3.7,-4.03,8.05,5.19,-1.4,1.42,0.37,2.0,1.0,1.0,50.0,1.9,5.19,-1.4,1000,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
4240,4240,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1036.91,3.7,-4.03,8.05,5.19,-1.4,1.42,0.37,2.0,1.0,1.0,50.0,1.9,5.19,-1.4,1000,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4252,4252,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1036.91,3.7,-4.03,8.05,5.19,-1.4,1.42,0.37,2.0,1.0,1.0,50.0,1.9,5.19,-1.4,1000,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
649,649,649.0,649.0,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1035.95,3.6,-4.03,7.95,5.04,-1.72,7.56,6.16,74.0,27.0,47.0,36.49,0.06,0.92,-0.44,1000,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
113,113,113.0,113.0,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1035.84,3.59,-4.03,7.93,3.61,0.0,0.01,0.25,1.0,1.0,0.0,100.0,3.61,3.61,0.0,1000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
477,477,477.0,477.0,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1035.54,3.56,-4.03,7.9,1.7,-0.73,0.74,0.49,6.0,4.0,2.0,66.67,0.59,1.19,-0.6,1000,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
475,475,475.0,475.0,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1035.54,3.56,-4.03,7.9,1.7,-0.73,0.74,0.49,6.0,4.0,2.0,66.67,0.59,1.19,-0.6,1000,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
1587,1587,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1035.46,3.55,-4.03,7.89,5.57,-1.43,17.72,63.91,868.0,337.0,531.0,38.82,0.01,0.26,-0.15,1000,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
1538,1538,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1035.16,3.52,-4.03,7.86,5.57,-1.03,2.75,1.05,13.0,4.0,9.0,30.77,0.29,2.17,-0.55,1000,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
1739,1739,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1033.22,3.33,-4.03,7.66,5.12,-1.7,6.35,3.72,45.0,17.0,28.0,37.78,0.08,1.01,-0.48,1000,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
3729,3729,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1033.13,3.32,-4.03,7.65,5.27,-2.19,8.11,3.26,40.0,12.0,28.0,30.0,0.1,1.52,-0.52,1000,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
153,153,153.0,153.0,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1032.3,3.23,-4.03,7.57,1.39,-0.81,0.83,1.23,15.0,7.0,8.0,46.67,0.22,0.77,-0.27,1000,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
2209,2209,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1031.48,3.15,-4.03,7.48,1.78,-0.18,0.39,0.49,6.0,3.0,3.0,50.0,0.52,1.17,-0.12,1000,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
638,638,638.0,638.0,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1030.44,3.05,-4.03,7.37,1.47,-0.54,0.95,1.23,15.0,6.0,9.0,40.0,0.21,0.74,-0.15,1000,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
3419,3419,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1030.41,3.05,-4.03,7.37,2.02,-0.26,0.45,1.05,13.0,6.0,7.0,46.15,0.24,0.68,-0.14,1000,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2214,2214,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1030.28,3.03,-4.03,7.35,4.83,-3.52,4.06,0.39,5.0,3.0,2.0,60.0,0.64,2.53,-2.2,1000,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1569,1569,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1029.54,2.96,-4.03,7.28,5.83,-1.43,8.74,40.07,519.0,173.0,346.0,33.33,0.01,0.28,-0.12,1000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
2859,2859,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1029.02,2.91,-4.03,7.22,2.91,0.0,0.01,0.17,1.0,1.0,0.0,100.0,2.91,2.91,0.0,1000,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
3386,3386,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1028.33,2.84,-4.03,7.15,1.87,-1.52,6.47,43.02,548.0,258.0,290.0,47.08,0.01,0.2,-0.16,1000,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
142,142,142.0,142.0,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1027.42,2.75,-4.03,7.06,5.19,-1.69,5.57,6.93,84.0,28.0,56.0,33.33,0.04,0.77,-0.32,1000,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
4146,4146,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1026.71,2.67,-4.03,6.98,7.27,-2.37,7.56,3.15,38.0,16.0,22.0,42.11,0.09,1.19,-0.72,1000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
511,511,511.0,511.0,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1026.37,2.64,-4.03,6.95,1.27,-0.07,0.08,0.41,5.0,4.0,1.0,80.0,0.53,0.68,-0.07,1000,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
513,513,513.0,513.0,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1026.37,2.64,-4.03,6.95,1.27,-0.07,0.08,0.41,5.0,4.0,1.0,80.0,0.53,0.68,-0.07,1000,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
1562,1562,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1026.03,2.61,-4.03,6.91,1.9,-1.48,3.26,2.53,31.0,13.0,18.0,41.94,0.09,0.7,-0.35,1000,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
3290,3290,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1025.22,2.53,-4.03,6.83,1.4,-1.13,1.14,1.06,13.0,5.0,8.0,38.46,0.2,0.91,-0.24,1000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
4810,4810,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1024.27,2.43,-4.03,6.73,3.57,-3.63,16.07,13.29,172.0,71.0,101.0,41.28,0.02,0.76,-0.5,1000,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1692,1692,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1023.95,2.4,-4.03,6.69,1.27,0.0,0.0,0.17,2.0,2.0,0.0,100.0,1.19,1.19,0.0,1000,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
100,100,100.0,100.0,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1023.89,2.39,-4.03,6.69,2.35,-0.29,1.56,7.76,96.0,27.0,69.0,28.12,0.03,0.26,-0.06,1000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3420,3420,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1023.58,2.36,-4.03,6.66,2.02,-0.26,0.52,0.41,5.0,2.0,3.0,40.0,0.48,1.53,-0.23,1000,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1637,1637,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1023.22,2.33,-4.03,6.62,1.7,-0.26,0.27,0.33,4.0,3.0,1.0,75.0,0.58,0.86,-0.26,1000,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
3831,3831,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1023.0,2.3,-4.03,6.6,4.8,-3.52,4.76,0.62,8.0,4.0,4.0,50.0,0.31,1.93,-1.3,1000,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3424,3424,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1022.5,2.25,-4.03,6.54,1.27,-0.08,0.09,0.33,4.0,3.0,1.0,75.0,0.56,0.78,-0.08,1000,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
3422,3422,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1022.5,2.25,-4.03,6.54,1.27,-0.08,0.09,0.33,4.0,3.0,1.0,75.0,0.56,0.78,-0.08,1000,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
2041,2041,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1022.45,2.25,-4.03,6.54,4.71,-3.52,4.71,0.7,9.0,4.0,5.0,44.44,0.27,1.9,-1.03,1000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2210,2210,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1021.37,2.14,-4.03,6.43,1.11,-0.38,1.04,3.48,43.0,18.0,25.0,41.86,0.05,0.3,-0.12,1000,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
114,114,114.0,114.0,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1021.05,2.11,-4.03,6.39,2.2,-0.84,5.06,15.86,197.0,51.0,146.0,25.89,0.02,0.37,-0.11,1000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
3007,3007,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1021.05,2.11,-4.03,6.39,2.13,0.0,0.01,0.29,1.0,1.0,0.0,100.0,2.13,2.13,0.0,1000,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1559,1559,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1020.99,2.1,-4.03,6.39,5.46,-1.7,3.95,1.98,24.0,6.0,18.0,25.0,0.1,2.02,-0.54,1000,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
3568,3568,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1020.89,2.09,-4.03,6.38,1.4,-0.48,1.67,2.04,25.0,13.0,12.0,52.0,0.09,0.3,-0.14,1000,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
1015,1015,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1020.73,2.08,-4.03,6.36,2.08,0.0,0.0,0.08,1.0,1.0,0.0,100.0,2.08,2.08,0.0,1000,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
3826,3826,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1020.67,2.07,-4.03,6.35,1.92,-0.18,0.37,0.41,5.0,2.0,3.0,40.0,0.42,1.31,-0.18,1000,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
4668,4668,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1020.66,2.07,-4.03,6.35,7.27,-4.78,7.49,0.99,13.0,7.0,6.0,53.85,0.2,1.73,-1.58,1000,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
