,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,dates,finalBalance,perfVSUSD,holdPercentage,vsHoldPercentage,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,averagePercentagePositivTrades,averagePercentageNegativTrades,startingBalance,cci,pvo,willr,kama,ao,sp,psar,atr,adx,aroon,keltner,boll,stochrsi,macd,kst,vol,trix,emad,ema,hichi
23,23,23.0,23.0,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],645.75,-35.42,-4.03,-32.71,5.7,-3.33,37.62,9.87,147.0,44.0,103.0,29.93,-0.29,0.9,-0.79,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
4887,4887,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],645.74,-35.42,-4.03,-32.71,2.92,-9.84,35.42,1.33,20.0,6.0,14.0,30.0,-2.1,1.05,-3.45,1000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2872,2872,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],645.69,-35.43,-4.03,-32.72,4.57,-9.33,36.61,2.12,32.0,12.0,20.0,37.5,-1.29,1.48,-2.96,1000,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2879,2879,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],645.69,-35.43,-4.03,-32.72,4.57,-9.33,36.61,2.12,32.0,12.0,20.0,37.5,-1.29,1.48,-2.96,1000,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
64,64,64.0,64.0,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],645.62,-35.44,-4.03,-32.73,5.99,-2.98,37.59,10.21,153.0,43.0,110.0,28.1,-0.27,1.04,-0.79,1000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0
2548,2548,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],645.53,-35.44,-4.03,-32.74,6.14,-8.17,39.83,9.47,136.0,65.0,71.0,47.79,-0.3,0.94,-1.43,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
393,393,393.0,393.0,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],645.38,-35.46,-4.03,-32.75,5.71,-3.4,37.61,10.09,150.0,46.0,104.0,30.67,-0.28,0.93,-0.82,1000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
3524,3524,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],645.14,-35.48,-4.03,-32.78,2.72,-2.32,53.66,166.46,3086.0,1279.0,1807.0,41.45,-0.01,0.28,-0.21,1000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2796,2796,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],644.98,-35.5,-4.03,-32.79,5.37,-3.88,48.95,45.05,707.0,294.0,413.0,41.58,-0.06,0.45,-0.42,1000,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
3261,3261,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],644.91,-35.51,-4.03,-32.8,5.53,-2.3,50.51,82.73,1267.0,422.0,845.0,33.31,-0.03,0.46,-0.27,1000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
257,257,257.0,257.0,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],644.82,-35.52,-4.03,-32.81,4.48,-2.59,48.42,111.48,1762.0,527.0,1235.0,29.91,-0.02,0.44,-0.22,1000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
3907,3907,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],644.73,-35.52,-4.03,-32.82,3.05,-2.48,50.43,110.96,1721.0,608.0,1113.0,35.33,-0.02,0.41,-0.25,1000,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2652,2652,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],644.62,-35.54,-4.03,-32.83,5.36,-6.84,47.59,27.63,445.0,193.0,252.0,43.37,-0.09,0.62,-0.63,1000,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
