,dates,finalBalance,perfVSUSD,holdPercentage,vsHoldPercentage,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,averagePercentagePositivTrades,averagePercentageNegativTrades,startingBalance,cci,pvo,willr,kama,ao,sp,psar,atr,adx,aroon,keltner,boll,stochrsi,macd,kst,vol,trix,emad,ema,hichi
2142,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],656.58,-34.33,-49.86,30.99,13.63,-6.35,43.2,5.55,22.0,5.0,17.0,22.73,-1.79,3.38,-3.31,1000,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2464,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],656.55,-34.33,-49.86,30.99,8.65,-5.48,39.95,7.2,29.0,5.0,24.0,17.24,-1.36,4.35,-2.55,1000,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1698,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],656.35,-34.35,-49.86,30.95,10.98,-6.54,38.37,6.13,27.0,8.0,19.0,29.63,-1.45,3.34,-3.47,1000,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
2670,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],656.3,-34.35,-49.86,30.94,5.95,-15.69,35.25,3.05,9.0,3.0,6.0,33.33,-4.28,3.53,-8.19,1000,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
2648,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],656.3,-34.35,-49.86,30.94,5.95,-15.69,35.25,3.05,9.0,3.0,6.0,33.33,-4.28,3.53,-8.19,1000,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1961,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],656.06,-34.38,-49.86,30.89,8.13,-7.34,34.38,5.09,22.0,4.0,18.0,18.18,-1.83,2.45,-2.78,1000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
757,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],655.83,-34.4,-49.86,30.84,12.63,-5.53,44.4,6.7,29.0,7.0,22.0,24.14,-1.36,3.15,-2.8,1000,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
1960,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],655.5,-34.43,-49.86,30.78,15.86,-11.25,44.01,8.77,42.0,11.0,31.0,26.19,-0.91,2.92,-2.26,1000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
3254,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],655.14,-34.47,-49.86,30.7,19.71,-14.04,52.9,8.85,46.0,18.0,28.0,39.13,-0.75,3.33,-3.38,1000,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
2201,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],654.82,-34.5,-49.86,30.64,7.82,-10.31,36.95,6.57,27.0,9.0,18.0,33.33,-1.45,2.9,-3.62,1000,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
205,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],654.66,-34.52,-49.86,30.61,7.4,-12.78,40.9,24.59,113.0,71.0,42.0,62.83,-0.32,0.85,-2.29,1000,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
3345,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],654.55,-34.53,-49.86,30.59,8.13,-7.86,34.53,4.86,19.0,4.0,15.0,21.05,-2.12,2.74,-3.42,1000,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1765,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],654.49,-34.54,-49.86,30.57,14.26,-6.71,37.81,6.26,26.0,6.0,20.0,23.08,-1.51,4.65,-3.35,1000,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
