,dates,finalBalance,perfVSUSD,holdPercentage,vsHoldPercentage,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,averagePercentagePositivTrades,averagePercentageNegativTrades,startingBalance,cci,pvo,willr,kama,ao,sp,psar,atr,adx,aroon,keltner,boll,stochrsi,macd,kst,vol,trix,emad,ema,hichi
155,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],642.37,-35.75,-49.4,26.98,4.56,-9.63,35.85,6.44,24.0,3.0,21.0,12.5,-1.77,1.58,-2.25,1000,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
815,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],641.9,-35.8,-49.4,26.88,0.0,-10.59,35.8,2.78,9.0,0.0,9.0,0.0,-4.7,0.0,-4.7,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0
77,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],640.63,-35.92,-49.4,26.63,20.15,-6.13,47.91,21.28,96.0,24.0,72.0,25.0,-0.39,3.08,-1.55,1000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
763,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],640.11,-35.97,-49.4,26.53,20.47,-8.46,46.23,20.4,92.0,25.0,67.0,27.17,-0.41,2.87,-1.63,1000,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
606,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],639.98,-35.99,-49.4,26.5,1.71,-9.47,35.99,3.59,12.0,1.0,11.0,8.33,-3.57,1.71,-4.05,1000,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
238,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],639.52,-36.03,-49.4,26.41,3.77,-12.27,38.34,5.2,19.0,3.0,16.0,15.79,-2.22,2.54,-3.11,1000,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
582,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],638.64,-36.12,-49.4,26.24,20.09,-5.85,46.23,19.66,87.0,22.0,65.0,25.29,-0.44,3.25,-1.7,1000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
811,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],638.57,-36.13,-49.4,26.23,0.0,-10.55,36.13,2.72,9.0,0.0,9.0,0.0,-4.77,0.0,-4.77,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
414,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],638.1,-36.18,-49.4,26.13,0.0,-9.36,36.18,2.83,9.0,0.0,9.0,0.0,-4.79,0.0,-4.79,1000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
241,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],636.38,-36.35,-49.4,25.79,3.77,-12.25,37.44,4.92,18.0,2.0,16.0,11.11,-2.38,3.74,-3.14,1000,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
570,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],636.09,-36.38,-49.4,25.74,7.78,-14.53,42.98,7.02,25.0,14.0,11.0,56.0,-1.59,2.65,-6.98,1000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
441,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],635.99,-36.39,-49.4,25.72,0.0,-9.55,36.39,2.84,10.0,0.0,10.0,0.0,-4.35,0.0,-4.35,1000,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
428,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],635.98,-36.39,-49.4,25.71,15.06,-5.9,53.58,34.3,160.0,47.0,113.0,29.38,-0.24,1.66,-1.02,1000,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
797,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],635.94,-36.39,-49.4,25.71,0.0,-9.37,36.39,2.81,9.0,0.0,9.0,0.0,-4.83,0.0,-4.83,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
