,Unnamed: 0,dates,finalBalance,perfVSUSD,holdPercentage,vsHoldPercentage,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,averagePercentagePositivTrades,averagePercentageNegativTrades,startingBalance,cci,pvo,willr,kama,ao,sp,psar,atr,adx,aroon,keltner,boll,stochrsi,macd,kst,vol,trix,emad,ema,hichi
569,569,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],598.6,-40.14,-4.73,-37.17,0.16,-5.21,40.14,1.25,20.0,1.0,19.0,5.0,-2.52,0.16,-2.66,1000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
601,601,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],598.56,-40.14,-4.73,-37.17,2.8,-5.72,40.14,1.5,25.0,3.0,22.0,12.0,-2.01,1.69,-2.51,1000,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
750,750,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],598.28,-40.17,-4.73,-37.2,7.18,-3.49,42.22,8.31,129.0,33.0,96.0,25.58,-0.38,1.59,-1.06,1000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
425,425,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],596.85,-40.31,-4.73,-37.35,0.89,-6.05,40.31,1.28,20.0,1.0,19.0,5.0,-2.53,0.89,-2.71,1000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
445,445,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],596.12,-40.39,-4.73,-37.43,5.42,-3.08,47.51,8.9,132.0,30.0,102.0,22.73,-0.38,1.7,-0.99,1000,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
434,434,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],596.06,-40.39,-4.73,-37.43,1.59,-9.13,40.39,1.29,20.0,1.0,19.0,5.0,-2.53,1.59,-2.74,1000,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
274,274,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],595.37,-40.46,-4.73,-37.51,0.0,-4.98,40.46,1.27,20.0,0.0,20.0,0.0,-2.55,0.0,-2.55,1000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
518,518,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],594.24,-40.57,-4.73,-37.62,0.4,-5.57,40.57,1.43,22.0,1.0,21.0,4.55,-2.32,0.4,-2.45,1000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
594,594,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],594.22,-40.58,-4.73,-37.63,2.64,-5.72,42.1,1.56,26.0,4.0,22.0,15.38,-1.96,1.1,-2.51,1000,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
833,833,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],593.77,-40.62,-4.73,-37.67,1.63,-6.05,40.62,1.42,23.0,3.0,20.0,13.04,-2.22,0.61,-2.64,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
744,744,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],593.16,-40.68,-4.73,-37.74,0.57,-5.21,40.68,1.34,22.0,1.0,21.0,4.55,-2.33,0.57,-2.47,1000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
412,412,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],592.55,-40.74,-4.73,-37.8,6.36,-3.95,45.06,15.83,254.0,72.0,182.0,28.35,-0.19,1.12,-0.72,1000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
529,529,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],591.21,-40.88,-4.73,-37.94,0.41,-4.98,40.88,1.28,20.0,1.0,19.0,5.0,-2.58,0.41,-2.74,1000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
533,533,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],590.29,-40.97,-4.73,-38.04,7.27,-5.52,44.94,8.62,130.0,33.0,97.0,25.38,-0.39,1.62,-1.07,1000,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
849,849,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],589.91,-41.01,-4.73,-38.08,0.55,-4.72,41.01,1.22,19.0,1.0,18.0,5.26,-2.72,0.55,-2.91,1000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
740,740,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],588.22,-41.18,-4.73,-38.26,0.54,-4.81,41.18,1.43,22.0,1.0,21.0,4.55,-2.37,0.54,-2.51,1000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
703,703,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],586.62,-41.34,-4.73,-38.42,5.89,-3.22,45.58,14.1,228.0,75.0,153.0,32.89,-0.22,1.08,-0.86,1000,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
304,304,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],586.42,-41.36,-4.73,-38.45,0.3,-4.88,41.36,1.34,21.0,1.0,20.0,4.76,-2.5,0.3,-2.64,1000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
439,439,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],586.38,-41.36,-4.73,-38.45,7.32,-2.88,43.8,11.4,181.0,51.0,130.0,28.18,-0.28,1.27,-0.89,1000,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
2,2,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],586.03,-41.39,-4.73,-38.49,2.36,-4.79,41.43,1.81,28.0,4.0,24.0,14.29,-1.87,0.99,-2.35,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
276,276,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],585.63,-41.43,-4.73,-38.53,6.81,-5.38,43.81,9.36,141.0,37.0,104.0,26.24,-0.37,1.31,-0.96,1000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
720,720,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],585.51,-41.45,-4.73,-38.54,5.31,-4.27,47.07,12.39,186.0,61.0,125.0,32.8,-0.27,1.25,-1.02,1000,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
295,295,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],584.22,-41.58,-4.73,-38.68,0.4,-6.05,41.58,1.31,21.0,1.0,20.0,4.76,-2.51,0.4,-2.66,1000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
543,543,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],584.06,-41.59,-4.73,-38.69,8.38,-6.33,44.98,10.24,156.0,51.0,105.0,32.69,-0.33,1.24,-1.09,1000,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
388,388,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],583.74,-41.62,-4.73,-38.73,1.09,-5.25,41.62,1.47,23.0,1.0,22.0,4.35,-2.29,1.09,-2.45,1000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
273,273,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],583.66,-41.63,-4.73,-38.74,0.41,-4.98,41.63,1.32,21.0,1.0,20.0,4.76,-2.52,0.41,-2.66,1000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
689,689,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],582.06,-41.79,-4.73,-38.9,0.13,-9.07,41.79,1.32,19.0,1.0,18.0,5.26,-2.76,0.13,-2.92,1000,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0
277,277,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],580.52,-41.95,-4.73,-39.07,0.39,-4.98,41.95,1.31,21.0,1.0,20.0,4.76,-2.54,0.39,-2.69,1000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
797,797,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],579.37,-42.06,-4.73,-39.19,0.24,-5.28,42.06,1.32,20.0,1.0,19.0,5.0,-2.68,0.24,-2.83,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
812,812,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],578.84,-42.11,-4.73,-39.24,0.18,-5.21,42.11,1.2,19.0,1.0,18.0,5.26,-2.82,0.18,-2.99,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
710,710,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],577.81,-42.22,-4.73,-39.35,0.77,-5.72,42.22,1.28,21.0,1.0,20.0,4.76,-2.56,0.77,-2.73,1000,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
716,716,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],577.73,-42.22,-4.73,-39.36,0.0,-5.05,42.22,1.4,22.0,0.0,22.0,0.0,-2.45,0.0,-2.45,1000,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
440,440,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],577.4,-42.26,-4.73,-39.39,4.76,-3.06,45.76,8.76,126.0,29.0,97.0,23.02,-0.42,1.55,-1.01,1000,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
741,741,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],576.33,-42.36,-4.73,-39.5,0.16,-4.7,42.36,1.36,21.0,1.0,20.0,4.76,-2.58,0.16,-2.71,1000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
78,78,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],575.41,-42.46,-4.73,-39.6,0.55,-4.79,42.46,1.46,24.0,1.0,23.0,4.17,-2.26,0.55,-2.38,1000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
580,580,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],575.21,-42.48,-4.73,-39.62,0.5,-5.29,42.48,1.24,20.0,1.0,19.0,5.0,-2.71,0.5,-2.88,1000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
74,74,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],574.59,-42.54,-4.73,-39.69,0.55,-4.72,42.54,1.51,25.0,1.0,24.0,4.0,-2.18,0.55,-2.29,1000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
316,316,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],574.47,-42.55,-4.73,-39.7,0.3,-5.54,42.55,1.33,21.0,2.0,19.0,9.52,-2.59,0.18,-2.88,1000,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
762,762,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],573.05,-42.69,-4.73,-39.85,0.0,-5.7,42.69,1.35,21.0,0.0,21.0,0.0,-2.6,0.0,-2.6,1000,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
544,544,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],572.26,-42.77,-4.73,-39.93,4.38,-3.51,45.63,9.83,159.0,49.0,110.0,30.82,-0.34,1.2,-1.02,1000,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
751,751,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],570.79,-42.92,-4.73,-40.09,0.92,-5.21,42.92,1.34,22.0,1.0,21.0,4.55,-2.5,0.92,-2.66,1000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
441,441,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],569.44,-43.05,-4.73,-40.23,0.0,-5.26,43.05,1.28,20.0,0.0,20.0,0.0,-2.76,0.0,-2.76,1000,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
64,64,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],568.64,-43.13,-4.73,-40.31,0.97,-8.83,43.13,1.26,20.0,1.0,19.0,5.0,-2.76,0.97,-2.95,1000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0
804,804,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],567.0,-43.3,-4.73,-40.48,0.0,-8.37,43.3,0.9,14.0,0.0,14.0,0.0,-3.94,0.0,-3.94,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
296,296,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],566.23,-43.37,-4.73,-40.56,5.49,-3.28,48.83,14.97,233.0,72.0,161.0,30.9,-0.23,1.22,-0.88,1000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
790,790,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],564.09,-43.59,-4.73,-40.79,6.97,-4.02,46.1,9.28,153.0,45.0,108.0,29.41,-0.36,1.39,-1.09,1000,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
606,606,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],564.09,-43.59,-4.73,-40.79,2.36,-5.32,43.59,1.97,31.0,6.0,25.0,19.35,-1.81,0.79,-2.43,1000,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
696,696,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],563.84,-43.61,-4.73,-40.82,5.87,-3.52,49.55,13.73,227.0,78.0,149.0,34.36,-0.24,1.11,-0.94,1000,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
444,444,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],561.55,-43.84,-4.73,-41.06,6.74,-2.99,48.2,11.55,190.0,44.0,146.0,23.16,-0.29,1.47,-0.82,1000,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
838,838,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],560.41,-43.96,-4.73,-41.18,3.12,-6.25,43.96,1.78,28.0,3.0,25.0,10.71,-2.02,1.86,-2.49,1000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
708,708,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],559.63,-44.04,-4.73,-41.26,5.64,-2.91,48.27,13.13,217.0,67.0,150.0,30.88,-0.26,1.12,-0.87,1000,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
